"magpiecell","basincode"
"ESH.597",24533
"LBR.598",24403
"LBR.599",24403
"LBR.600",24486
"LBR.601",24486
"CIV.602",24486
"CIV.603",24486
"GIN.604",24486
"GIN.605",24745
"GIN.606",24745
"GIN.607",27033
"GIN.608",27033
"GIN.609",27033
"MLI.610",27033
"MLI.611",27033
"MLI.612",27033
"MLI.613",27033
"MLI.614",27033
"MLI.615",23635
"MLI.616",23635
"MLI.617",23635
"MLI.618",23635
"MLI.619",24214
"MRT.620",24214
"MRT.621",24214
"MRT.622",24214
"MRT.623",24214
"MRT.624",24214
"MRT.625",24214
"MRT.626",24214
"MRT.627",24214
"MRT.628",24229
"MRT.629",24229
"MRT.630",24229
"MRT.631",24229
"MRT.632",24229
"MRT.633",24229
"MRT.634",24229
"MRT.635",24229
"MRT.636",24229
"MRT.637",24229
"MRT.638",24229
"MRT.639",24229
"MRT.640",24229
"MRT.641",24229
"MRT.642",24447
"LBR.643",24486
"LBR.644",24486
"LBR.645",24486
"CIV.646",24486
"CIV.647",24745
"CIV.648",24745
"CIV.649",24745
"CIV.650",24745
"CIV.651",24745
"CIV.652",27033
"CIV.653",27033
"CIV.654",27033
"MLI.655",27033
"MLI.656",27033
"MLI.657",27033
"MLI.658",27033
"MLI.659",27033
"MLI.660",27033
"MLI.661",24591
"MLI.662",23635
"MLI.663",23635
"MLI.664",24592
"MRT.665",24214
"MRT.666",24214
"MRT.667",24214
"MRT.668",24214
"MRT.669",24214
"MRT.670",25425
"MRT.671",24871
"MRT.672",24871
"MRT.673",24871
"MRT.674",24871
"MRT.675",24871
"MRT.676",24871
"MRT.677",24871
"MRT.678",24524
"MRT.679",24524
"MRT.680",24524
"MRT.681",24525
"MRT.682",24525
"MRT.683",24525
"MRT.684",24525
"MRT.685",24229
"MRT.686",24229
"MRT.687",24229
"CIV.688",24570
"CIV.689",24486
"CIV.690",24486
"CIV.691",24745
"CIV.692",24745
"CIV.693",24745
"CIV.694",24745
"CIV.695",24745
"CIV.696",24745
"CIV.697",24745
"CIV.698",27033
"CIV.699",27033
"MLI.700",27033
"MLI.701",27033
"MLI.702",27033
"MLI.703",27033
"MLI.704",27033
"MLI.705",27033
"MLI.706",24591
"MLI.707",24591
"MLI.708",24591
"MLI.709",24592
"MRT.710",24214
"MRT.711",24214
"MRT.712",24214
"MRT.713",24214
"MRT.714",25425
"MRT.715",25425
"MRT.716",24871
"MRT.717",24871
"MRT.718",24871
"MRT.719",24871
"MRT.720",24871
"MRT.721",24871
"MRT.722",24871
"MRT.723",24871
"MRT.724",24524
"MRT.725",24524
"MRT.726",24524
"MRT.727",24525
"MRT.728",24525
"MRT.729",24525
"MRT.730",24525
"MRT.731",24229
"CIV.732",24656
"CIV.733",24656
"CIV.734",24745
"CIV.735",24745
"CIV.736",24745
"CIV.737",24745
"CIV.738",24745
"CIV.739",25018
"CIV.740",25018
"CIV.741",25018
"CIV.742",27033
"CIV.743",27033
"MLI.744",27033
"MLI.745",27033
"MLI.746",27033
"MLI.747",27033
"MLI.748",27033
"MLI.749",27033
"MLI.750",24591
"MLI.751",24591
"MLI.752",24591
"MLI.753",24592
"MRT.754",24678
"MRT.755",24214
"MRT.756",24214
"MRT.757",24214
"MRT.758",25425
"MRT.759",25425
"MRT.760",25425
"MRT.761",24871
"MRT.762",24871
"MRT.763",24871
"MRT.764",24871
"MRT.765",24871
"MRT.766",24871
"MRT.767",24871
"MRT.768",25146
"MRT.769",25146
"MRT.770",24524
"MRT.771",24524
"MRT.772",24525
"MRT.773",24525
"MRT.774",24525
"CIV.775",24745
"CIV.776",24745
"CIV.777",24745
"CIV.778",24745
"CIV.779",25018
"CIV.780",25018
"CIV.781",25018
"CIV.782",25018
"CIV.783",25018
"CIV.784",27033
"CIV.785",27033
"MLI.786",27033
"MLI.787",27033
"MLI.788",27033
"MLI.789",27033
"MLI.790",27033
"MLI.791",27033
"MLI.792",27033
"MLI.793",24946
"MLI.794",24946
"MLI.795",24678
"MRT.796",24678
"MRT.797",24678
"MRT.798",24214
"MRT.799",24214
"MRT.800",25425
"MRT.801",25425
"MRT.802",25425
"MRT.803",24871
"MRT.804",24871
"MRT.805",24871
"MRT.806",24871
"MRT.807",24871
"MRT.808",24871
"MLI.809",24871
"MLI.810",25146
"MLI.811",25146
"MLI.812",24524
"MLI.813",24524
"MLI.814",24525
"MRT.815",24525
"MRT.816",24525
"CIV.817",24839
"CIV.818",24839
"CIV.819",24926
"CIV.820",25018
"CIV.821",25018
"CIV.822",25018
"CIV.823",25018
"CIV.824",25018
"CIV.825",25018
