"cell","IPCC","IPCC_reduced"
"AUS.54592","tropical_dry","tropical_dry"
"AUS.54593","tropical_dry","tropical_dry"
"AUS.54594","tropical_dry","tropical_dry"
"AUS.54595","tropical_dry","tropical_dry"
"AUS.54596","tropical_dry","tropical_dry"
"AUS.54597","tropical_dry","tropical_dry"
"AUS.54598","tropical_dry","tropical_dry"
"AUS.54599","tropical_dry","tropical_dry"
"AUS.54600","tropical_dry","tropical_dry"
"AUS.54601","tropical_dry","tropical_dry"
"AUS.54602","tropical_dry","tropical_dry"
"AUS.54603","tropical_dry","tropical_dry"
"AUS.54604","tropical_dry","tropical_dry"
"AUS.54605","tropical_dry","tropical_dry"
"AUS.54606","tropical_dry","tropical_dry"
"AUS.54607","tropical_dry","tropical_dry"
"AUS.54608","tropical_dry","tropical_dry"
"AUS.54609","tropical_dry","tropical_dry"
"AUS.54610","tropical_dry","tropical_dry"
"AUS.54626","warm_temperate_dry","temperate_dry"
"AUS.54627","warm_temperate_dry","temperate_dry"
"AUS.54628","warm_temperate_dry","temperate_dry"
"AUS.54629","warm_temperate_dry","temperate_dry"
"AUS.54630","warm_temperate_dry","temperate_dry"
"AUS.54631","warm_temperate_dry","temperate_dry"
