FAOoriginalItem_fromWebsite,FAOaggregatedItem_fromWebsite,ProductionItem,FoodBalanceItem,k,comment
"1127|Meat, camel","2735|Meat, Other","1127|Meat, camel","2735|Meat, Other",livst_rum,
"1141|Meat, rabbit","2735|Meat, Other","1141|Meat, rabbit","2735|Meat, Other",livst_rum,
"1151|Meat, other rodents","2735|Meat, Other","1151|Meat, other rodents","2735|Meat, Other",livst_rum,
"1158|Meat, other camelids","2735|Meat, Other","1158|Meat, other camelids","2735|Meat, Other",livst_rum,
"1163|Meat, game","2735|Meat, Other","1163|Meat, game","2735|Meat, Other",livst_rum,
"1166|Meat, nes","2735|Meat, Other","1166|Meat, nes","2735|Meat, Other",livst_rum,
"1176|Snails, not sea","2735|Meat, Other","1176|Snails, not sea","2735|Meat, Other",livst_rum,
"1167|Offals, nes","2736|Offals, Edible","1167|Offals, nes","2736|Offals, Edible",livst_rum,
1043|Lard,"2737|Fats, Animals, Raw",1043|Lard,"2737|Fats, Animals, Raw",livst_rum,
1225|Tallow,"2737|Fats, Animals, Raw",1225|Tallow,"2737|Fats, Animals, Raw",livst_rum,
"867|Meat, cattle",2731|Bovine Meat,"867|Meat, cattle",2731|Bovine Meat,livst_rum,
"947|Meat, buffalo",2731|Bovine Meat,"947|Meat, buffalo",2731|Bovine Meat,livst_rum,
"1017|Meat, goat",2732|Mutton & Goat Meat,"1017|Meat, goat",2732|Mutton & Goat Meat,livst_rum,
"977|Meat, sheep",2732|Mutton & Goat Meat,"977|Meat, sheep",2732|Mutton & Goat Meat,livst_rum,
56|Maize,2514|Maize and products,56|Maize,2514|Maize and products,maiz,
,2544|Molasses,165|Molasses,2544|Molasses,molasses,
256|Palm kernels,2562|Palm kernels,256|Palm kernels,2562|Palm kernels,not_clear,what to do with these??
,2590|Soyabean Cake,,2590|Soyabean Cake,oilcakes,
,2591|Groundnut Cake,,2591|Groundnut Cake,oilcakes,
,2592|Sunflowerseed Cake,,2592|Sunflowerseed Cake,oilcakes,
,2593|Rape and Mustard Cake,,2593|Rape and Mustard Cake,oilcakes,
,2594|Cottonseed Cake,,2594|Cottonseed Cake,oilcakes,
,2595|Palmkernel Cake,,2595|Palmkernel Cake,oilcakes,
,2596|Copra Cake,,2596|Copra Cake,oilcakes,
,2597|Sesameseed Cake,,2597|Sesameseed Cake,oilcakes,
,"2598|Oilseed Cakes, Other",,"2598|Oilseed Cakes, Other",oilcakes,
,,,X003|Palmoil_Kerneloil_Kernelcake,oilpalm,
"237|Oil, soybean",2571|Soyabean Oil,"237|Oil, soybean",2571|Soyabean Oil,oils,
"244|Oil, groundnut",2572|Groundnut Oil,"244|Oil, groundnut",2572|Groundnut Oil,oils,
"268|Oil, sunflower",2573|Sunflowerseed Oil,"268|Oil, sunflower",2573|Sunflowerseed Oil,oils,
"271|Oil, rapeseed",2574|Rape and Mustard Oil,"271|Oil, rapeseed",2574|Rape and Mustard Oil,oils,
"331|Oil, cottonseed",2575|Cottonseed Oil,"331|Oil, cottonseed",2575|Cottonseed Oil,oils,
"258|Oil, palm kernel",2576|Palmkernel Oil,"258|Oil, palm kernel",2576|Palmkernel Oil,oils,
"257|Oil, palm",2577|Palm Oil,"257|Oil, palm",2577|Palm Oil,oils,
"252|Oil, coconut (copra)",2578|Coconut Oil,"252|Oil, coconut (copra)",2578|Coconut Oil,oils,
"290|Oil, sesame",2579|Sesameseed Oil,"290|Oil, sesame",2579|Sesameseed Oil,oils,
"261|Oil, olive, virgin",2580|Olive Oil,"261|Oil, olive, virgin",2580|Olive Oil,oils,
"36|Oil, rice bran",2581|Ricebran Oil,,2581|Ricebran Oil,oils,no production in ProdSTAT
"60|Oil, maize",2582|Maize Germ Oil,"60|Oil, maize",2582|Maize Germ Oil,oils,
"1242|Margarine, short","2586|Oilcrops Oil, Other","1242|Margarine, short","2586|Oilcrops Oil, Other",oils,
"281|Oil, safflower","2586|Oilcrops Oil, Other","281|Oil, safflower","2586|Oilcrops Oil, Other",oils,
"334|Oil, linseed","2586|Oilcrops Oil, Other","334|Oil, linseed","2586|Oilcrops Oil, Other",oils,
"216|Brazil nuts, with shell",2551|Nuts and products,"216|Brazil nuts, with shell",2551|Nuts and products,others,
"217|Cashew nuts, with shell",2551|Nuts and products,"217|Cashew nuts, with shell",2551|Nuts and products,others,
220|Chestnut,2551|Nuts and products,220|Chestnut,2551|Nuts and products,others,
