Category,CountryA3,Sector
transport,BDI,Wholesale Trade
water,BDI,"Electricity, Gas and Water"
wood processing,BDI,Wood and Paper
agriculture,BEL,"Products of agriculture, hunting and related services"
chemicals,BEL,"Chemicals, chemical products and man-made fibres"
fishery,BEL,Fish and other fishing products; services incidental of fishing
food processing,BEL,Food products and beverages
food processing,BEL,Tobacco products
forestry,BEL,"Products of forestry, logging and related services"
fuel,BEL,Coal and lignite; peat
fuel,BEL,"Coke, refined petroleum products and nuclear fuels"
fuel,BEL,Crude petroleum and natural gas; services incidental to oil and gas extraction excluding surveying
manufacturing,BEL,Computer and related services
manufacturing,BEL,Electrical machinery and apparatus n_e_c_
manufacturing,BEL,"Fabricated metal products, except machinery and equipment"
manufacturing,BEL,Furniture; other manufactured goods n_e_c_
manufacturing,BEL,Machinery and equipment n_e_c_
manufacturing,BEL,"Medical, precision and optical instruments, watches and clocks"
manufacturing,BEL,"Motor vehicles, trailers and semi-trailers"
manufacturing,BEL,Office machinery and computers
manufacturing,BEL,Other non-metallic mineral products
manufacturing,BEL,Printed matter and recorded media
manufacturing,BEL,"Radio, television and communication equipment and apparatus"
manufacturing,BEL,Rubber and plastic products
manufacturing,BEL,Secondary raw materials
manufacturing,BEL,Textiles
Primary Inputs_Compensation of employees D_1,BEL,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,BEL,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,BEL,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,BEL,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,BEL,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,BEL,Primary Inputs_Taxes on production D_29
primary non-agricultural products,BEL,Basic metals
primary non-agricultural products,BEL,Metal ores
primary non-agricultural products,BEL,Other mining and quarrying products
primary non-agricultural products,BEL,Uranium and thorium ores
public services,BEL,Public administration and defence services; compulsory social security services
remaining,BEL,Leather and leather products
remaining,BEL,Wearing apparel; furs
research,BEL,Education services
research,BEL,Research and development services
services,BEL,Air transport services
services,BEL,Construction work
services,BEL,"Financial intermediation services, except insurance and pension funding services"
services,BEL,FISIM
services,BEL,Health and social work services
services,BEL,Hotel and restaurant services
services,BEL,"Insurance and pension funding services, except compulsory social security services"
services,BEL,Membership organisation services n_e_c_
services,BEL,Other business services
services,BEL,Other services
services,BEL,Post and telecommunication services
services,BEL,Private households with employed persons
services,BEL,Real estate services
services,BEL,"Recreational, cultural and sporting services"
services,BEL,Renting services of machinery and equipment without operator and of personal and household goods
services,BEL,Services auxiliary to financial intermediation
services,BEL,"Sewage and refuse disposal services, sanitation and similar services"
transport,BEL,Land transport; transport via pipeline services
transport,BEL,Other transport equipment
transport,BEL,Re-export
transport,BEL,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods"
transport,BEL,Supporting and auxiliary transport services; travel agency services
transport,BEL,"Trade, maintenance and repair services of motor vehicles and motorcycles; retail sale of automotive fuel"
transport,BEL,Water transport services
transport,BEL,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles"
water,BEL,"Collected and purified water, distribution services of water"
water,BEL,"Electrical energy, gas, steam and hot water"
wood processing,BEL,"Pulp, paper and paper products"
wood processing,BEL,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials
agriculture,BEN,Agriculture
fishery,BEN,Fishing
food processing,BEN,Food & Beverages
fuel,BEN,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,BEN,Electrical and Machinery
manufacturing,BEN,Finacial Intermediation and Business Activities
manufacturing,BEN,Metal Products
manufacturing,BEN,Other Manufacturing
manufacturing,BEN,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,BEN,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,BEN,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,BEN,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,BEN,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,BEN,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,BEN,Primary Inputs_Taxes on production D_29
primary non-agricultural products,BEN,Mining and Quarrying
public services,BEN,Public Administration
research,BEN,"Education, Health and Other Services"
services,BEN,Construction
services,BEN,Hotels and Restraurants
services,BEN,Maintenance and Repair
services,BEN,Others
services,BEN,Post and Telecommunications
services,BEN,Private Households
services,BEN,Recycling
transport,BEN,Re-export & Re-import
transport,BEN,Retail Trade
transport,BEN,Transport
transport,BEN,Transport Equipment
transport,BEN,Wholesale Trade
water,BEN,"Electricity, Gas and Water"
wood processing,BEN,Wood and Paper
agriculture,BFA,Agriculture
fishery,BFA,Fishing
food processing,BFA,Food & Beverages
fuel,BFA,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,BFA,Electrical and Machinery
manufacturing,BFA,Finacial Intermediation and Business Activities
manufacturing,BFA,Metal Products
manufacturing,BFA,Other Manufacturing
manufacturing,BFA,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,BFA,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,BFA,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,BFA,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,BFA,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,BFA,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,BFA,Primary Inputs_Taxes on production D_29
primary non-agricultural products,BFA,Mining and Quarrying
public services,BFA,Public Administration
research,BFA,"Education, Health and Other Services"
services,BFA,Construction
services,BFA,Hotels and Restraurants
services,BFA,Maintenance and Repair
services,BFA,Others
services,BFA,Post and Telecommunications
services,BFA,Private Households
services,BFA,Recycling
transport,BFA,Re-export & Re-import
transport,BFA,Retail Trade
transport,BFA,Transport
transport,BFA,Transport Equipment
transport,BFA,Wholesale Trade
water,BFA,"Electricity, Gas and Water"
wood processing,BFA,Wood and Paper
agriculture,BGD,Agriculture
fishery,BGD,Fishing
food processing,BGD,Food & Beverages
fuel,BGD,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,BGD,Electrical and Machinery
manufacturing,BGD,Finacial Intermediation and Business Activities
manufacturing,BGD,Metal Products
manufacturing,BGD,Other Manufacturing
manufacturing,BGD,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,BGD,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,BGD,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,BGD,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,BGD,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,BGD,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,BGD,Primary Inputs_Taxes on production D_29
primary non-agricultural products,BGD,Mining and Quarrying
public services,BGD,Public Administration
research,BGD,"Education, Health and Other Services"
services,BGD,Construction
services,BGD,Hotels and Restraurants
services,BGD,Maintenance and Repair
services,BGD,Others
services,BGD,Post and Telecommunications
services,BGD,Private Households
services,BGD,Recycling
transport,BGD,Re-export & Re-import
transport,BGD,Retail Trade
transport,BGD,Transport
transport,BGD,Transport Equipment
transport,BGD,Wholesale Trade
water,BGD,"Electricity, Gas and Water"
wood processing,BGD,Wood and Paper
agriculture,BGR,Agriculture
fishery,BGR,Fishing
food processing,BGR,Food & Beverages
fuel,BGR,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,BGR,Electrical and Machinery
manufacturing,BGR,Finacial Intermediation and Business Activities
manufacturing,BGR,Metal Products
manufacturing,BGR,Other Manufacturing
manufacturing,BGR,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,BGR,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,BGR,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,BGR,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,BGR,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,BGR,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,BGR,Primary Inputs_Taxes on production D_29
primary non-agricultural products,BGR,Mining and Quarrying
public services,BGR,Public Administration
research,BGR,"Education, Health and Other Services"
services,BGR,Construction
services,BGR,Hotels and Restraurants
services,BGR,Maintenance and Repair
services,BGR,Others
services,BGR,Post and Telecommunications
services,BGR,Private Households
services,BGR,Recycling
transport,BGR,Re-export & Re-import
transport,BGR,Retail Trade
transport,BGR,Transport
transport,BGR,Transport Equipment
transport,BGR,Wholesale Trade
water,BGR,"Electricity, Gas and Water"
wood processing,BGR,Wood and Paper
agriculture,BHR,Agriculture
fishery,BHR,Fishing
food processing,BHR,Food & Beverages
fuel,BHR,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,BHR,Electrical and Machinery
manufacturing,BHR,Finacial Intermediation and Business Activities
manufacturing,BHR,Metal Products
manufacturing,BHR,Other Manufacturing
manufacturing,BHR,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,BHR,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,BHR,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,BHR,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,BHR,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,BHR,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,BHR,Primary Inputs_Taxes on production D_29
primary non-agricultural products,BHR,Mining and Quarrying
public services,BHR,Public Administration
research,BHR,"Education, Health and Other Services"
services,BHR,Construction
services,BHR,Hotels and Restraurants
services,BHR,Maintenance and Repair
services,BHR,Others
services,BHR,Post and Telecommunications
services,BHR,Private Households
services,BHR,Recycling
transport,BHR,Re-export & Re-import
transport,BHR,Retail Trade
transport,BHR,Transport
transport,BHR,Transport Equipment
transport,BHR,Wholesale Trade
water,BHR,"Electricity, Gas and Water"
wood processing,BHR,Wood and Paper
agriculture,BHS,Agriculture
fishery,BHS,Fishing
food processing,BHS,Food & Beverages
fuel,BHS,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,BHS,Electrical and Machinery
manufacturing,BHS,Finacial Intermediation and Business Activities
manufacturing,BHS,Metal Products
manufacturing,BHS,Other Manufacturing
manufacturing,BHS,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,BHS,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,BHS,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,BHS,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,BHS,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,BHS,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,BHS,Primary Inputs_Taxes on production D_29
primary non-agricultural products,BHS,Mining and Quarrying
public services,BHS,Public Administration
research,BHS,"Education, Health and Other Services"
services,BHS,Construction
services,BHS,Hotels and Restraurants
services,BHS,Maintenance and Repair
services,BHS,Others
services,BHS,Post and Telecommunications
services,BHS,Private Households
services,BHS,Recycling
transport,BHS,Re-export & Re-import
transport,BHS,Retail Trade
transport,BHS,Transport
transport,BHS,Transport Equipment
transport,BHS,Wholesale Trade
water,BHS,"Electricity, Gas and Water"
wood processing,BHS,Wood and Paper
agriculture,BIH,Agriculture
fishery,BIH,Fishing
food processing,BIH,Food & Beverages
fuel,BIH,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,BIH,Electrical and Machinery
manufacturing,BIH,Finacial Intermediation and Business Activities
manufacturing,BIH,Metal Products
manufacturing,BIH,Other Manufacturing
manufacturing,BIH,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,BIH,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,BIH,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,BIH,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,BIH,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,BIH,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,BIH,Primary Inputs_Taxes on production D_29
primary non-agricultural products,BIH,Mining and Quarrying
public services,BIH,Public Administration
research,BIH,"Education, Health and Other Services"
services,BIH,Construction
services,BIH,Hotels and Restraurants
services,BIH,Maintenance and Repair
services,BIH,Others
services,BIH,Post and Telecommunications
services,BIH,Private Households
services,BIH,Recycling
transport,BIH,Re-export & Re-import
transport,BIH,Retail Trade
transport,BIH,Transport
transport,BIH,Transport Equipment
transport,BIH,Wholesale Trade
water,BIH,"Electricity, Gas and Water"
wood processing,BIH,Wood and Paper
agriculture,BLR,Agriculture
fishery,BLR,Fishing
food processing,BLR,Food & Beverages
fuel,BLR,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,BLR,Electrical and Machinery
manufacturing,BLR,Finacial Intermediation and Business Activities
manufacturing,BLR,Metal Products
manufacturing,BLR,Other Manufacturing
manufacturing,BLR,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,BLR,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,BLR,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,BLR,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,BLR,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,BLR,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,BLR,Primary Inputs_Taxes on production D_29
primary non-agricultural products,BLR,Mining and Quarrying
public services,BLR,Public Administration
research,BLR,"Education, Health and Other Services"
services,BLR,Construction
services,BLR,Hotels and Restraurants
services,BLR,Maintenance and Repair
services,BLR,Others
services,BLR,Post and Telecommunications
services,BLR,Private Households
services,BLR,Recycling
transport,BLR,Re-export & Re-import
transport,BLR,Retail Trade
transport,BLR,Transport
transport,BLR,Transport Equipment
transport,BLR,Wholesale Trade
water,BLR,"Electricity, Gas and Water"
wood processing,BLR,Wood and Paper
agriculture,BLZ,Agriculture
fishery,BLZ,Fishing
food processing,BLZ,Food & Beverages
fuel,BLZ,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,BLZ,Electrical and Machinery
manufacturing,BLZ,Finacial Intermediation and Business Activities
manufacturing,BLZ,Metal Products
manufacturing,BLZ,Other Manufacturing
manufacturing,BLZ,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,BLZ,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,BLZ,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,BLZ,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,BLZ,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,BLZ,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,BLZ,Primary Inputs_Taxes on production D_29
primary non-agricultural products,BLZ,Mining and Quarrying
public services,BLZ,Public Administration
research,BLZ,"Education, Health and Other Services"
services,BLZ,Construction
services,BLZ,Hotels and Restraurants
services,BLZ,Maintenance and Repair
services,BLZ,Others
services,BLZ,Post and Telecommunications
services,BLZ,Private Households
services,BLZ,Recycling
transport,BLZ,Re-export & Re-import
transport,BLZ,Retail Trade
transport,BLZ,Transport
transport,BLZ,Transport Equipment
transport,BLZ,Wholesale Trade
water,BLZ,"Electricity, Gas and Water"
wood processing,BLZ,Wood and Paper
agriculture,BMU,Agriculture
fishery,BMU,Fishing
food processing,BMU,Food & Beverages
fuel,BMU,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,BMU,Electrical and Machinery
manufacturing,BMU,Finacial Intermediation and Business Activities
manufacturing,BMU,Metal Products
manufacturing,BMU,Other Manufacturing
manufacturing,BMU,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,BMU,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,BMU,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,BMU,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,BMU,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,BMU,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,BMU,Primary Inputs_Taxes on production D_29
primary non-agricultural products,BMU,Mining and Quarrying
public services,BMU,Public Administration
research,BMU,"Education, Health and Other Services"
services,BMU,Construction
services,BMU,Hotels and Restraurants
services,BMU,Maintenance and Repair
services,BMU,Others
services,BMU,Post and Telecommunications
services,BMU,Private Households
services,BMU,Recycling
transport,BMU,Re-export & Re-import
transport,BMU,Retail Trade
transport,BMU,Transport
transport,BMU,Transport Equipment
transport,BMU,Wholesale Trade
water,BMU,"Electricity, Gas and Water"
wood processing,BMU,Wood and Paper
agriculture,BOL,DAIRY PRODUCTS
alcohol,BOL,BEVERAGES
buildings,BOL,HOME OWNERSHIP
chemicals,BOL,CHEMICALS
chemicals,BOL,INDUSTRIAL AGRICULTURAL PRODUCTS
crops,BOL,NON-INDUSTRIAL AGRICULTURAL PRODUCTS
food processing,BOL,FRESH AND PROCESSED MEAT
food processing,BOL,MISCELLANEOUS FOOD PRODUCTS
food processing,BOL,PREPARED SNUFF
forestry,BOL,"FORESTRY, HUNTING AND FISHING"
fuel,BOL,CRUDE OIL AND NATURAL GAS
fuel,BOL,PRODUCTS OF PETROLEUM REFINING
livestock,BOL,LIVESTOCK
manufacturing,BOL,"METAL PRODUCTS, MACHINERY AND EQUIPMENT"
manufacturing,BOL,MISCELLANEOUS MANUFACTURED
manufacturing,BOL,NON-METALLIC MINERAL PRODUCTS
manufacturing,BOL,"TEXTILES, CLOTHING AND LEATHER GOODS"
milling,BOL,MILLING AND BAKERY PRODUCTS
Primary Inputs_Compensation of employees D_1,BOL,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,BOL,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,BOL,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,BOL,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,BOL,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,BOL,Primary Inputs_Taxes on production D_29
primary non-agricultural products,BOL,COMMODITY METAL
primary non-agricultural products,BOL,METAL AND NON-METALLIC MINERALS
public infrastructure,BOL,COMMUNICATIONS
remaining,BOL,COCA
services,BOL,CIVIL SERVICES
services,BOL,"COMMUNITY, SOCIAL AND PERSONAL SERVICES"
services,BOL,CONSTRUCTION
services,BOL,DOMESTIC SERVICES
services,BOL,FINANCIAL SERVICES
services,BOL,FISIM
services,BOL,RESTAURANTS AND HOTELS
services,BOL,SERVICES TO BUSINESSES
sugar,BOL,SUGAR AND CONFECTIONERY
transport,BOL,REEXPORT
transport,BOL,TRADE
transport,BOL,TRANSPORT AND STORAGE
water,BOL,"ELECTRICITY, GAS AND WATER"
wood processing,BOL,PAPER AND PAPER PRODUCTS
wood processing,BOL,WOOD AND WOOD PRODUCTS
alcohol,BRA,Alcohol
cassav_sp,BRA,Manioc
cereals,BRA,Wheat grain and other cereals
chemicals,BRA,Inorganic chemicals
chemicals,BRA,Organic chemicals
chemicals,BRA,Other chemical products
cottn_pro,BRA,Cotton
fishery,BRA,Fishing and aquaculture
food processing,BRA,Abbattoirs
food processing,BRA,Beverages
food processing,BRA,Cotton ginning
food processing,BRA,Instant coffee
food processing,BRA,Milk products
food processing,BRA,Other food products
food processing,BRA,Processed fish
food processing,BRA,Processed fruit
food processing,BRA,Processed milk
food processing,BRA,Roast and ground coffee
food processing,BRA,Tobacco products
forestry,BRA,Forestry products
fuel,BRA,Automotive Diesel Oil
fuel,BRA,Automotive petrol
fuel,BRA,Coal
fuel,BRA,Crude oil and natural gas
fuel,BRA,Fuel oil
fuel,BRA,Gasoalcohol
fuel,BRA,LPG
fuel,BRA,Other refinery and coke products
livst_chick,BRA,Chicken and other bird meat
livst_chick,BRA,Live birds
livst_egg,BRA,Eggs of hens and other birds
livst_milk,BRA,Milk from cows and other animals
livst_pig,BRA,Live pigs
livst_pig,BRA,Pork meat
livst_rum,BRA,Beef and other live animals
maiz,BRA,Corn in the husk
manufacturing,BRA,Cast steel
manufacturing,BRA,Cement
manufacturing,BRA,Clothing
manufacturing,BRA,Corn oil manufacturing and other grain preparations
manufacturing,BRA,Electric machines and materials
manufacturing,BRA,Electronic and communication equipment
manufacturing,BRA,Fabricated metal products except machines and equipment
manufacturing,BRA,Footwear
manufacturing,BRA,Furniture and other manufacturing
manufacturing,BRA,Household appliances
manufacturing,BRA,"Inks, varnishes, enamels, lacquers"
manufacturing,BRA,"Machines and equipment, including maintenance"
manufacturing,BRA,Medical and optical equipment
manufacturing,BRA,Metallurgic non-ferrous metal products
manufacturing,BRA,Office equipment
manufacturing,BRA,Other non-metallic mineral products
manufacturing,BRA,Other product growing
manufacturing,BRA,Other textile products
manufacturing,BRA,Passenger and light utility vejicles
manufacturing,BRA,Pharmaceutic products
manufacturing,BRA,Plastic products
manufacturing,BRA,Rubber products
manufacturing,BRA,"Semi-fabricates, laminates, bar and tubes of steel"
manufacturing,BRA,Soaps and detergents
manufacturing,BRA,Trucks and busses
manufacturing,BRA,Vehicle parts
manufacturing,BRA,Woven fabrics
milling,BRA,Manioc flour
milling,BRA,Wheat flour
oils,BRA,"Oil, cakes, rind, flour and other raw soy products"
oils,BRA,Other vegetable oils except corn oil
oils,BRA,Processed soy oil
others,BRA,Citrus fruit
others,BRA,Coffee
pesticides,BRA,Pesticides
Primary Inputs_Compensation of employees D_1,BRA,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,BRA,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,BRA,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,BRA,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,BRA,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,BRA,Primary Inputs_Taxes on production D_29
primary non-agricultural products,BRA,Iron ore
primary non-agricultural products,BRA,Non-ferrous metallic minerals
primary non-agricultural products,BRA,Non-metallic minerals
primary non-agricultural products,BRA,Pig iron and iron alloys
primary non-agricultural products,BRA,Resin and elastomer products
public infrastructure,BRA,Passenger transport
public services,BRA,Public administration and social security
public services,BRA,Public health services
remaining,BRA,Leather products except footwear
remaining,BRA,Tobacco leaves
research,BRA,Private education
research,BRA,Public education
rice_pro,BRA,Rice and rice products
rice_pro,BRA,Rice in the husk
services,BRA,Business services
services,BRA,Construction
services,BRA,Finance and insurance
services,BRA,Hotels and restaurants
services,BRA,Household services
services,BRA,Imputed rent
services,BRA,Information services
services,BRA,Maintenance and repair
services,BRA,"Newspapers, magazines, and electronic publishing"
services,BRA,Personal services
services,BRA,Postal services
services,BRA,Private health services
services,BRA,Property services and hiring
services,BRA,Recycled scrap
services,BRA,Services rendered by associations and interest groups
soybean,BRA,Soy grain
sugar,BRA,Refined sugar
sugr_cane,BRA,Sugar cane
transport,BRA,Freight transport
transport,BRA,Other transport equipment
transport,BRA,Reexport
transport,BRA,Wholesale and retail trade
water,BRA,"Electricity, gas, water, sewerage and drainage services"
wood processing,BRA,Cellulose for paper manufacturing
wood processing,BRA,"Paper, cardboard and paper products"
wood processing,BRA,Wood products except furniture
agriculture,BRB,Agriculture
fishery,BRB,Fishing
food processing,BRB,Food & Beverages
fuel,BRB,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,BRB,Electrical and Machinery
manufacturing,BRB,Finacial Intermediation and Business Activities
manufacturing,BRB,Metal Products
manufacturing,BRB,Other Manufacturing
manufacturing,BRB,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,BRB,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,BRB,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,BRB,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,BRB,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,BRB,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,BRB,Primary Inputs_Taxes on production D_29
primary non-agricultural products,BRB,Mining and Quarrying
public services,BRB,Public Administration
research,BRB,"Education, Health and Other Services"
services,BRB,Construction
services,BRB,Hotels and Restraurants
services,BRB,Maintenance and Repair
services,BRB,Others
services,BRB,Post and Telecommunications
services,BRB,Private Households
services,BRB,Recycling
transport,BRB,Re-export & Re-import
transport,BRB,Retail Trade
transport,BRB,Transport
transport,BRB,Transport Equipment
transport,BRB,Wholesale Trade
water,BRB,"Electricity, Gas and Water"
wood processing,BRB,Wood and Paper
agriculture,BRN,Agriculture
fishery,BRN,Fishing
food processing,BRN,Food & Beverages
fuel,BRN,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,BRN,Electrical and Machinery
manufacturing,BRN,Finacial Intermediation and Business Activities
manufacturing,BRN,Metal Products
manufacturing,BRN,Other Manufacturing
manufacturing,BRN,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,BRN,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,BRN,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,BRN,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,BRN,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,BRN,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,BRN,Primary Inputs_Taxes on production D_29
primary non-agricultural products,BRN,Mining and Quarrying
public services,BRN,Public Administration
research,BRN,"Education, Health and Other Services"
services,BRN,Construction
services,BRN,Hotels and Restraurants
services,BRN,Maintenance and Repair
services,BRN,Others
services,BRN,Post and Telecommunications
services,BRN,Private Households
services,BRN,Recycling
transport,BRN,Re-export & Re-import
transport,BRN,Retail Trade
transport,BRN,Transport
transport,BRN,Transport Equipment
transport,BRN,Wholesale Trade
water,BRN,"Electricity, Gas and Water"
wood processing,BRN,Wood and Paper
agriculture,BTN,Agriculture
fishery,BTN,Fishing
food processing,BTN,Food & Beverages
fuel,BTN,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,BTN,Electrical and Machinery
manufacturing,BTN,Finacial Intermediation and Business Activities
manufacturing,BTN,Metal Products
manufacturing,BTN,Other Manufacturing
manufacturing,BTN,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,BTN,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,BTN,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,BTN,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,BTN,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,BTN,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,BTN,Primary Inputs_Taxes on production D_29
primary non-agricultural products,BTN,Mining and Quarrying
public services,BTN,Public Administration
research,BTN,"Education, Health and Other Services"
services,BTN,Construction
services,BTN,Hotels and Restraurants
services,BTN,Maintenance and Repair
services,BTN,Others
