generic;generic_unit;ts10;ts10_unit
Emi|VOC|Land Use|Forest Burning;Mt VOC/yr;Emissions|VOC|Land Use|Forest Burning;Mt VOC/yr
Emi|VOC|Land Use|Savannah Burning;Mt VOC/yr;Emissions|VOC|Land Use|Savannah Burning;Mt VOC/yr
Emi|VOC|Solvents;Mt VOC/yr;Emissions|VOC|Solvents;Mt VOC/yr
Emi|VOC|Waste;Mt VOC/yr;Emissions|VOC|Waste;Mt VOC/yr
Energy expenditures CES;billion US$2005/yr;Energy expenditures CES;billion US$2005/yr
Energy Investments;billion US$2005/yr;Investment|All;billion US$2005/yr
Energy Investments|CO2 Trans&Stor;billion US$2005/yr;Investment|Energy Supply|CO2 Trans&Stor;billion US$2005/yr
Energy Investments|Demand;billion US$2005/yr;Investment|Energy Demand;billion US$2005/yr
Energy Investments|Elec|Biomass;billion US$2005/yr;Inv|Supply|Elec|Non-fossil|Biomass;billion US$2005/yr
Energy Investments|Elec|Biomass|w/ CCS;billion US$2005/yr;Inv|Supply|Elec|Non-fossil|Biomass|w/ CCS;billion US$2005/yr
Energy Investments|Elec|Biomass|w/o CCS;billion US$2005/yr;Inv|Supply|Elec|Non-fossil|Biomass|w/o CCS;billion US$2005/yr
Energy Investments|Elec|Coal;billion US$2005/yr;Inv|Supply|Elec|Fossil|Coal;billion US$2005/yr
Energy Investments|Elec|Coal|w/ CCS;billion US$2005/yr;Inv|Supply|Elec|Fossil|Coal|w/ CCS;billion US$2005/yr
Energy Investments|Elec|Coal|w/o CCS;billion US$2005/yr;Inv|Supply|Elec|Fossil|Coal|w/o CCS;billion US$2005/yr
Energy Investments|Elec|Fossil;billion US$2005/yr;Investment|Energy Supply|Elec|Fossil;billion US$2005/yr
Energy Investments|Elec|Gas;billion US$2005/yr;Inv|Supply|Elec|Fossil|Gas;billion US$2005/yr
Energy Investments|Elec|Gas|w/ CCS;billion US$2005/yr;Inv|Supply|Elec|Fossil|Gas|w/ CCS;billion US$2005/yr
Energy Investments|Elec|Gas|w/o CCS;billion US$2005/yr;Inv|Supply|Elec|Fossil|Gas|w/o CCS;billion US$2005/yr
Energy Investments|Elec|Geothermal;billion US$2005/yr;Inv|Supply|Elec|Non-fos|Non-BioRen|Geo;billion US$2005/yr
Energy Investments|Elec|Hydro;billion US$2005/yr;Inv|Supply|Elec|Non-fos|Non-BioRen|Hydro;billion US$2005/yr
Energy Investments|Elec|Non-Bio Re;billion US$2005/yr;Inv|Supply|Elec|Non-fos|Non-BioRen;billion US$2005/yr
Energy Investments|Elec|Non-fossil;billion US$2005/yr;Inv|Supply|Elec|Non-fossil;billion US$2005/yr
Energy Investments|Elec|Nuclear;billion US$2005/yr;Inv|Supply|Elec|Non-fossil|Nuclear;billion US$2005/yr
Energy Investments|Elec|Oil;billion US$2005/yr;Inv|Supply|Elec|Fossil|Oil;billion US$2005/yr
Energy Investments|Elec|Oil|w/o CCS;billion US$2005/yr;Inv|Supply|Elec|Fossil|Oil|w/o CCS;billion US$2005/yr
Energy Investments|Elec|Solar;billion US$2005/yr;Inv|Supply|Elec|Non-fos|Non-BioRen|Solar;billion US$2005/yr
Energy Investments|Elec|Storage;billion US$2005/yr;Inv|Supply|Elec|Electricity Storage;billion US$2005/yr
Energy Investments|Elec|Trans;billion US$2005/yr;Inv|Supply|Elec|Trans;billion US$2005/yr
Energy Investments|Elec|Wind;billion US$2005/yr;Inv|Supply|Elec|Non-fos|Non-BioRen|Wind;billion US$2005/yr
Energy Investments|Electricity;billion US$2005/yr;Investment|Energy Supply|Electricity;billion US$2005/yr
Energy Investments|Gases;billion US$2005/yr;Investment|Gases;billion US$2005/yr
Energy Investments|Heat;billion US$2005/yr;Investment|Energy Supply|Heat;billion US$2005/yr
Energy Investments|Hydrogen;billion US$2005/yr;Investment|Energy Supply|Hydrogen;billion US$2005/yr
Energy Investments|Hydrogen|Fossil;billion US$2005/yr;Investment|Energy Supply|Hydrogen|Fossil;billion US$2005/yr
Energy Investments|Hydrogen|RE;billion US$2005/yr;Inv|Supply|Hydrogen|Renewable;billion US$2005/yr
Energy Investments|Liquids;billion US$2005/yr;Investment|Energy Supply|Liquids;billion US$2005/yr
Energy Investments|Liquids|Bio;billion US$2005/yr;Inv|Supply|Liquids|Synthetic Fuels|Biomass;billion US$2005/yr
Energy Investments|Liquids|Fossil;billion US$2005/yr;Inv|Supply|Liquids|Synthetic Fuels|Fossil;billion US$2005/yr
Energy Investments|Liquids|Fossil|w/ oil;billion US$2005/yr;Inv|Supply|Liquids|Fossil|w/ oil;billion US$2005/yr
Energy Investments|Liquids|Oil Ref;billion US$2005/yr;Inv|Supply|Liquids|Oil Refineries;billion US$2005/yr
Energy Investments|Non-Elec;billion US$2005/yr;Investment|Energy Supply|Non-Electric;billion US$2005/yr
Energy Investments|Other;billion US$2005/yr;Investment|Energy Supply|Other;billion US$2005/yr
Energy Investments|Solids;billion US$2005/yr;Investment|Solids;billion US$2005/yr
Energy Investments|Supply;billion US$2005/yr;Investment|Energy Supply;billion US$2005/yr
Energy system costs;billion US$2005/yr;Energy system costs;billion US$2005/yr
ES|Transportation|Freight;bn tkm/yr;Energy Service|Transportation|Freight;bn tkm/yr
ES|Transportation|Passenger;bn pkm/yr;Energy Service|Transportation|Passenger;bn pkm/yr
Est.Capital Stock|ESM|Pet/EV LDV;billion US$2005;Est.Capital Stock|ESM|Pet/EV LDV;billion US$2005
Est.Capital Stock|ESM|Transp vehic;billion US$2005;Est.Capital Stock|ESM|Transp vehic;billion US$2005
Est.EV LDV Stock;million vehicles;Est.EV LDV Stock;million vehicles
Est.H2 LDV Stock;million vehicles;Est.H2 LDV Stock;million vehicles
Est.LDV Stock;million vehicles;Est.LDV Stock;million vehicles
FE;EJ/yr;Final Energy;EJ/yr
FE|Electricity;EJ/yr;Final Energy|Electricity;EJ/yr
FE|Gases;EJ/yr;Final Energy|Gases;EJ/yr
FE|Heat;EJ/yr;Final Energy|Heat;EJ/yr
FE|Hydrogen;EJ/yr;Final Energy|Hydrogen;EJ/yr
FE|Liquids;EJ/yr;Final Energy|Liquids;EJ/yr
FE|Other Sector;EJ/yr;Final Energy|Other Sector;EJ/yr
FE|Other Sector|Electricity;EJ/yr;Final Energy|Other Sector|Electricity;EJ/yr
FE|Other Sector|Gases;EJ/yr;Final Energy|Other Sector|Gases;EJ/yr
FE|Other Sector|Heat;EJ/yr;Final Energy|Other Sector|Heat;EJ/yr
FE|Other Sector|Hydrogen;EJ/yr;Final Energy|Other Sector|Hydrogen;EJ/yr
FE|Other Sector|Liquids;EJ/yr;Final Energy|Other Sector|Liquids;EJ/yr
FE|Other Sector|Solids;EJ/yr;Final Energy|Other Sector|Solids;EJ/yr
FE|Solids;EJ/yr;Final Energy|Solids;EJ/yr
FE|Solids|Biomass;EJ/yr;Final Energy|Solids|Biomass;EJ/yr
FE|Solids|Biomass|Traditional;EJ/yr;Final Energy|Solids|Biomass|Traditional;EJ/yr
FE|Solids|Coal;EJ/yr;Final Energy|Solids|Coal;EJ/yr
FE|Transportation;EJ/yr;Final Energy|Transportation;EJ/yr
FE|Transportation|Electricity;EJ/yr;Final Energy|Transportation|Electricity;EJ/yr
FE|Transportation|Freight;EJ/yr;Final Energy|Transportation|Freight;EJ/yr
FE|Transportation|Hydrogen;EJ/yr;Final Energy|Transportation|Hydrogen;EJ/yr
FE|Transportation|Liquids;EJ/yr;Final Energy|Transportation|Liquids;EJ/yr
FE|Transportation|Liquids|Biomass;EJ/yr;Final Energy|Transportation|Liquids|Biomass;EJ/yr
FE|Transportation|Liquids|Coal;EJ/yr;Final Energy|Transportation|Liquids|Coal;EJ/yr
FE|Transportation|Liquids|Oil;EJ/yr;Final Energy|Transportation|Liquids|Oil;EJ/yr
GDP|MER;billion US$2005/yr;GDP|MER;billion US$2005/yr
GDP|PPP;billion US$2005/yr;GDP|PPP;billion US$2005/yr
Idle Cap|Electricity|Coal|w/o CCS;GW;Idle Cap|Electricity|Coal|w/o CCS;GW
Idle Cap|Electricity|Gas|w/o CCS;GW;Idle Cap|Electricity|Gas|w/o CCS;GW
Idle Cap|Electricity|Oil|w/o CCS;GW;Idle Cap|Electricity|Oil|w/o CCS;GW
LCOE|Electricity|Biomass|w/ CCS;US$2005/MWh;LCOE|Electricity|Biomass|w/ CCS;US$2005/MWh
LCOE|Electricity|Biomass|w/ CCS|w/ Carbon price;US$2005/MWh;LCOE|Electricity|Biomass|w/ CCS|w/ Carbon Price;US$2005/MWh
LCOE|Electricity|Biomass|w/o CCS;US$2005/MWh;LCOE|Electricity|Biomass|w/o CCS;US$2005/MWh
LCOE|Electricity|Coal|w/ CCS;US$2005/MWh;LCOE|Electricity|Coal|w/ CCS;US$2005/MWh
LCOE|Electricity|Coal|w/ CCS|w/ Carbon price;US$2005/MWh;LCOE|Electricity|Coal|w/ CCS|w/ Carbon Price;US$2005/MWh
LCOE|Electricity|Coal|w/o CCS;US$2005/MWh;LCOE|Electricity|Coal|w/o CCS;US$2005/MWh
LCOE|Electricity|Gas|w/ CCS;US$2005/MWh;LCOE|Electricity|Gas|w/ CCS;US$2005/MWh
LCOE|Electricity|Gas|w/o CCS;US$2005/MWh;LCOE|Electricity|Gas|w/o CCS;US$2005/MWh
LCOE|Electricity|Non-Biomass Renewables;US$2005/MWh;LCOE|Electricity|Non-Biomass Renewables;US$2005/MWh
LCOE|Electricity|Nuclear;US$2005/MWh;LCOE|Electricity|Nuclear;US$2005/MWh
LCOE|Electricity|Solar;US$2005/MWh;LCOE|Electricity|Solar|Average;US$2005/MWh
LCOE|Electricity|Solar|Marginal;US$2005/MWh;LCOE|Electricity|Solar|Marginal;US$2005/MWh
LCOE|Electricity|Wind;US$2005/MWh;LCOE|Electricity|Wind|Average;US$2005/MWh
LCOE|Electricity|Wind|Marginal;US$2005/MWh;LCOE|Electricity|Wind|Marginal;US$2005/MWh
LCOE|Liquids|Biofuels|w/ CCS;US$2005/MWh;LCOE|Liquids|Biomass|w/ CCS;US$2005/MWh
LCOE|Liquids|Biofuels|w/o CCS;US$2005/MWh;LCOE|Liquids|Biomass|w/o CCS;US$2005/MWh
LCOE|Liquids|Fossil Synfuels|CTL|w/ CCS;US$2005/MWh;LCOE|Liquids|Coal|w/ CCS;US$2005/MWh
LCOE|Liquids|Fossil Synfuels|CTL|w/o CCS;US$2005/MWh;LCOE|Liquids|Coal|w/o CCS;US$2005/MWh
LCOE|Liquids|Petroleum Products;US$2005/MWh;LCOE|Liquids|Oil;US$2005/MWh
New Cap|Electricity;GW;New Cap|Electricity;GW
New Cap|Electricity|Biomass;GW;New Cap|Electricity|Biomass;GW
New Cap|Electricity|Biomass|w/ CCS;GW;New Cap|Electricity|Biomass|w/ CCS;GW
