r20m41;engage;weight;factor
Emi|PFC (kt CF4-equiv/yr);Emissions|PFC (kt CF4-equiv/yr);NULL;1
Emi|SF6 (kt SF6/yr);Emissions|SF6 (kt SF6/yr);NULL;1
Emi|SO2 (Mt SO2/yr);Emissions|Sulfur (Mt SO2/yr);NULL;1
FE (EJ/yr);Final Energy (EJ/yr);NULL;1
FE|+|Electricity (EJ/yr);Final Energy|Electricity (EJ/yr);NULL;1
FE|+|Gases (EJ/yr);Final Energy|Gases (EJ/yr);NULL;1
FE|+|Heat (EJ/yr);Final Energy|Heat (EJ/yr);NULL;1
FE|+|Hydrogen (EJ/yr);Final Energy|Hydrogen (EJ/yr);NULL;1
FE|+|Liquids (EJ/yr);Final Energy|Liquids (EJ/yr);NULL;1
FE|Buildings (EJ/yr);Final Energy|Residential and Commercial (EJ/yr);NULL;1
FE|Buildings|Electricity (EJ/yr);Final Energy|Residential and Commercial|Electricity (EJ/yr);NULL;1
FE|Buildings|Gases (EJ/yr);Final Energy|Residential and Commercial|Gases (EJ/yr);NULL;1
FE|Buildings|Heat (EJ/yr);Final Energy|Residential and Commercial|Heat (EJ/yr);NULL;1
FE|Buildings|Hydrogen (EJ/yr);Final Energy|Residential and Commercial|Hydrogen (EJ/yr);NULL;1
FE|Buildings|Liquids (EJ/yr);Final Energy|Residential and Commercial|Liquids (EJ/yr);NULL;1
FE|Buildings|Solids (EJ/yr);Final Energy|Residential and Commercial|Solids (EJ/yr);NULL;1
FE|Industry (EJ/yr);Final Energy|Industry (EJ/yr);NULL;1
FE|Industry|Electricity (EJ/yr);Final Energy|Industry|Electricity (EJ/yr);NULL;1
FE|Industry|Gases (EJ/yr);Final Energy|Industry|Gases (EJ/yr);NULL;1
FE|Industry|Heat (EJ/yr);Final Energy|Industry|Heat (EJ/yr);NULL;1
FE|Industry|Hydrogen (EJ/yr);Final Energy|Industry|Hydrogen (EJ/yr);NULL;1
FE|Industry|Liquids (EJ/yr);Final Energy|Industry|Liquids (EJ/yr);NULL;1
FE|Industry|Solids (EJ/yr);Final Energy|Industry|Solids (EJ/yr);NULL;1
FE|Solids|Biomass (EJ/yr);Final Energy|Solids|Biomass (EJ/yr);NULL;1
FE|Solids|Biomass|Traditional (EJ/yr);Final Energy|Solids|Biomass|Traditional (EJ/yr);NULL;1
FE|Solids|Coal (EJ/yr);Final Energy|Solids|Coal (EJ/yr);NULL;1
FE|Transport (EJ/yr);Final Energy|Transportation (EJ/yr);NULL;1
FE|Transport|Electricity (EJ/yr);Final Energy|Transportation|Electricity (EJ/yr);NULL;1
FE|Transport|Hydrogen (EJ/yr);Final Energy|Transportation|Hydrogen (EJ/yr);NULL;1
FE|Transport|Liquids (EJ/yr);Final Energy|Transportation|Liquids (EJ/yr);NULL;1
FE|Transport|Liquids|Biomass (EJ/yr);Final Energy|Transportation|Liquids|Biomass (EJ/yr);NULL;1
FE|Transport|Liquids|Coal (EJ/yr);Final Energy|Transportation|Liquids|Coal (EJ/yr);NULL;1
FE|Transport|Liquids|Oil (EJ/yr);Final Energy|Transportation|Liquids|Oil (EJ/yr);NULL;1
ES|Transport|Pass|LDV (bn pkm/yr);Energy Service|Transportation|Passenger (bn pkm/yr);NULL;1
ES|Transport|Freight (bn tkm/yr);Energy Service|Transportation|Freight (bn tkm/yr);NULL;1
Price|Final Energy|Electricity|Buildings (US$2005/GJ);Price|Final Energy|Residential|Electricity (US$2010/GJ /GJ);NULL;1.10774
