REMIND_variable;AGEB_variable;Weight;Unit_REMIND;Unit_AGEB;Factor;Comment
FE|Buildings|Gases;6_3 Endenergieverbrauch Private Haushalte nach Energietraegern|Gase;1;EJ/yr;PJ;0.001;
;6_3 Endenergieverbrauch Private Haushalte nach Energietraegern|Erdgas, Erdölgas;;;;;
;6_3 Endenergieverbrauch Private Haushalte nach Energietraegern|Erneuerbare Energien;;;;;
;6_3 Endenergieverbrauch Private Haushalte nach Energietraegern|Sonstige Energieträger;;;;;
FE|Buildings|Electricity;6_3 Endenergieverbrauch Private Haushalte nach Energietraegern|Strom;1;EJ/yr;PJ;0.001;
FE|Buildings|Heat;6_3 Endenergieverbrauch Private Haushalte nach Energietraegern|Fernwärme;1;EJ/yr;PJ;0.001;
;6_3 Endenergieverbrauch Private Haushalte nach Energietraegern|Insgesamt;;;;;
FE|Buildings|Solids|Coal;6_4 Endenergieverbrauch Gewerbe, Handel, Dienstleistungen (GHD) nach Energietraegern|Steinkohle;1;EJ/yr;PJ;0.001;
FE|Buildings|Solids|Coal;6_4 Endenergieverbrauch Gewerbe, Handel, Dienstleistungen (GHD) nach Energietraegern|Braunkohle;1;EJ/yr;PJ;0.001;
FE|Buildings|Liquids|Fossil|Oil;6_4 Endenergieverbrauch Gewerbe, Handel, Dienstleistungen (GHD) nach Energietraegern|Mineralöle;1;EJ/yr;PJ;0.001;
FE|Buildings|Gases;6_4 Endenergieverbrauch Gewerbe, Handel, Dienstleistungen (GHD) nach Energietraegern|Gase;1;EJ/yr;PJ;0.001;
;6_4 Endenergieverbrauch Gewerbe, Handel, Dienstleistungen (GHD) nach Energietraegern|Erdgas, Erdölgas;;;;;
;6_4 Endenergieverbrauch Gewerbe, Handel, Dienstleistungen (GHD) nach Energietraegern|Erneuerbare Energien;;;;;
;6_4 Endenergieverbrauch Gewerbe, Handel, Dienstleistungen (GHD) nach Energietraegern|Sonstige Energieträger;;;;;
FE|Buildings|Electricity;6_4 Endenergieverbrauch Gewerbe, Handel, Dienstleistungen (GHD) nach Energietraegern|Strom;1;EJ/yr;PJ;0.001;
FE|Buildings|Heat;6_4 Endenergieverbrauch Gewerbe, Handel, Dienstleistungen (GHD) nach Energietraegern|Fernwärme;1;EJ/yr;PJ;0.001;
;6_4 Endenergieverbrauch Gewerbe, Handel, Dienstleistungen (GHD) nach Energietraegern|Insgesamt;;;;;
;6_5 Endenergieverbrauch Landwirtschaft, Fischerei, Bauwirtschaft nach Energietraegern|Ottokraftstoffe;;;;;
;6_5 Endenergieverbrauch Landwirtschaft, Fischerei, Bauwirtschaft nach Energietraegern|Dieselkraftstoff;;;;;
;6_5 Endenergieverbrauch Landwirtschaft, Fischerei, Bauwirtschaft nach Energietraegern|Heizöl, leicht;;;;;
FE|w/o Non-energy Use|Industry|Gases;6_5 Endenergieverbrauch Landwirtschaft, Fischerei, Bauwirtschaft nach Energietraegern|Flüssiggas;1;EJ/yr;PJ;0.001;
FE|w/o Non-energy Use|Industry|Gases;6_5 Endenergieverbrauch Landwirtschaft, Fischerei, Bauwirtschaft nach Energietraegern|Erdgas, Erdölgas;1;EJ/yr;PJ;0.001;
;6_5 Endenergieverbrauch Landwirtschaft, Fischerei, Bauwirtschaft nach Energietraegern|Biodiesel;;;;;
;6_5 Endenergieverbrauch Landwirtschaft, Fischerei, Bauwirtschaft nach Energietraegern|Bioethanol;;;;;
;6_5 Endenergieverbrauch Landwirtschaft, Fischerei, Bauwirtschaft nach Energietraegern|Sonstige Biomasse;;;;;
;6_5 Endenergieverbrauch Landwirtschaft, Fischerei, Bauwirtschaft nach Energietraegern|Strom;;;;;
;6_5 Endenergieverbrauch Landwirtschaft, Fischerei, Bauwirtschaft nach Energietraegern|Insgesamt;;;;;
;6_6 Endenergieverbrauch Verkehr nach Energietraegern|Steinkohle;;;;;
;6_6 Endenergieverbrauch Verkehr nach Energietraegern|Braunkohle;;;;;
FE|Transport|Liquids|Fossil|Oil;6_6 Endenergieverbrauch Verkehr nach Energietraegern|Mineralöle;1;EJ/yr;PJ;0.001;
FE|Transport|Gases|Fossil|Natural Gas;6_6 Endenergieverbrauch Verkehr nach Energietraegern|Gase;1;EJ/yr;PJ;0.001;
;6_6 Endenergieverbrauch Verkehr nach Energietraegern|Erdgas, Erdölgas;;;;;
FE|Transport|Liquids|Biomass;6_6 Endenergieverbrauch Verkehr nach Energietraegern|Erneuerbare Energien;1;EJ/yr;PJ;0.001;
;6_6 Endenergieverbrauch Verkehr nach Energietraegern|Sonstige Energieträger;;;;;
FE|Transport|Electricity;6_6 Endenergieverbrauch Verkehr nach Energietraegern|Strom;1;EJ/yr;PJ;0.001;
;6_6 Endenergieverbrauch Verkehr nach Energietraegern|Fernwärme;;;;;
;6_6 Endenergieverbrauch Verkehr nach Energietraegern|Insgesamt;;;;;
;6_8 Endenergieverbrauch im Subsektor Strassenverkehr nach Energietraegern|Ottokraftstoffe;;;;;
;6_8 Endenergieverbrauch im Subsektor Strassenverkehr nach Energietraegern|Dieselkraftstoff;;;;;
;6_8 Endenergieverbrauch im Subsektor Strassenverkehr nach Energietraegern|Flüssiggas;;;;;
;6_8 Endenergieverbrauch im Subsektor Strassenverkehr nach Energietraegern|Erdgas, Erdölgas;;;;;
;6_8 Endenergieverbrauch im Subsektor Strassenverkehr nach Energietraegern|Erneuerbare Energien;;;;;
;6_8 Endenergieverbrauch im Subsektor Strassenverkehr nach Energietraegern|Strom;;;;;
;6_8 Endenergieverbrauch im Subsektor Strassenverkehr nach Energietraegern|Insgesamt;;;;;
SE|Electricity|Coal;9 Bruttostromerzeugung|Braunkohle;1;EJ/yr;TWh;0.0036;
SE|Electricity|Coal;9 Bruttostromerzeugung|Steinkohle;1;EJ/yr;TWh;0.0036;
SE|Electricity|Nuclear;9 Bruttostromerzeugung|Kernenergie;1;EJ/yr;TWh;0.0036;
SE|Electricity|Gas;9 Bruttostromerzeugung|Erdgas;1;EJ/yr;TWh;0.0036;
SE|Electricity|Oil;9 Bruttostromerzeugung|Mineralöl;1;EJ/yr;TWh;0.0036;
;9 Bruttostromerzeugung|Erneuerbare Energien (EE);;;;;
SE|Electricity|Wind|Onshore;9 Bruttostromerzeugung|Wind onshore;1;EJ/yr;TWh;0.0036;
SE|Electricity|Wind|Offshore;9 Bruttostromerzeugung|Wind offshore;1;EJ/yr;TWh;0.0036;
SE|Electricity|Wind;9 Bruttostromerzeugung|Wind onshore;1;EJ/yr;TWh;0.0036;
SE|Electricity|Wind;9 Bruttostromerzeugung|Wind offshore;1;EJ/yr;TWh;0.0036;
SE|Electricity|Hydro;9 Bruttostromerzeugung|Wasserkraft;1;EJ/yr;TWh;0.0036;
SE|Electricity|Biomass;9 Bruttostromerzeugung|Biomasse;1;EJ/yr;TWh;0.0036;
SE|Electricity|Solar|PV;9 Bruttostromerzeugung|Photovoltaik;1;EJ/yr;TWh;0.0036;
SE|Electricity|Solar;9 Bruttostromerzeugung|Photovoltaik;1;EJ/yr;TWh;0.0036;
;9 Bruttostromerzeugung|Hausmüll;;;;;
SE|Electricity|Geothermal;9 Bruttostromerzeugung|Geothermie;1;EJ/yr;TWh;0.0036;
;9 Bruttostromerzeugung|Sonstige;;;;;
