r17m30;AR6DB;factor
Emissions|NH3|Land Use (Mt NH3/yr);Emissions|NH3|AFOLU (Mt NH3/yr);1
Emissions|NOX (Mt NOX/yr);Emissions|NOx (Mt NO2/yr);1
Emissions|NOX|Land Use (Mt NOX/yr);Emissions|NOx|AFOLU (Mt NO2/yr);1
Emissions|NOX|Energy Supply and Demand (Mt NOX/yr);Emissions|NOx|Energy (Mt NO2/yr);1
Emissions|NOX|Energy Demand|Industry (Mt NOX/yr);Emissions|NOx|Energy|Demand|Industry (Mt NO2/yr);1
Emissions|NOX|Energy Demand|ResCom (Mt NOX/yr);Emissions|NOx|Energy|Demand|Buildings (Mt NO2/yr);1
Emissions|NOX|Energy Demand|Transport (Mt NOX/yr);Emissions|NOx|Energy|Demand|Transportation (Mt NO2/yr);1
Emissions|NOX|Energy Supply (Mt NOX/yr);Emissions|NOx|Energy|Supply (Mt NO2/yr);1
Emissions|NOX|Waste (Mt NOX/yr);Emissions|NOx|Other (Mt NO2/yr);1
Emissions|OC (Mt OC/yr);Emissions|OC (Mt OC/yr);1
Emissions|OC|Land Use (Mt OC/yr);Emissions|OC|AFOLU (Mt OC/yr);1
Emissions|OC|Energy Supply and Demand (Mt OC/yr);Emissions|OC|Energy (Mt OC/yr);1
Emissions|OC|Energy Demand|Industry (Mt OC/yr);Emissions|OC|Energy|Demand|Industry (Mt OC/yr);1
Emissions|OC|Energy Demand|ResCom (Mt OC/yr);Emissions|OC|Energy|Demand|Buildings (Mt OC/yr);1
Emissions|OC|Energy Demand|Transport (Mt OC/yr);Emissions|OC|Energy|Demand|Transportation (Mt OC/yr);1
Emissions|OC|Energy Supply (Mt OC/yr);Emissions|OC|Energy|Supply (Mt OC/yr);1
Emissions|OC|Waste (Mt OC/yr);Emissions|OC|Other (Mt OC/yr);1
Emissions|PFC (kt CF4-equiv/yr);Emissions|PFC (kt CF4-equiv/yr);1
Emissions|SF6 (kt SF6/yr);Emissions|SF6 (kt SF6/yr);1
Emissions|SO2 (Mt SO2/yr);Emissions|Sulfur (Mt SO2/yr);1
Emissions|SO2|Land Use (Mt SO2/yr);Emissions|Sulfur|AFOLU (Mt SO2/yr);1
Emissions|SO2|Energy Supply and Demand (Mt SO2/yr);Emissions|Sulfur|Energy (Mt SO2/yr);1
Emissions|SO2|Energy Demand|Industry (Mt SO2/yr);Emissions|Sulfur|Energy|Demand|Industry (Mt SO2/yr);1
Emissions|SO2|Energy Demand|ResCom (Mt SO2/yr);Emissions|Sulfur|Energy|Demand|Buildings (Mt SO2/yr);1
Emissions|SO2|Energy Demand|Transport (Mt SO2/yr);Emissions|Sulfur|Energy|Demand|Transportation (Mt SO2/yr);1
Emissions|SO2|Energy Supply (Mt SO2/yr);Emissions|Sulfur|Energy|Supply (Mt SO2/yr);1
Emissions|SO2|Solvents (Mt SO2/yr);Emissions|Sulfur|Other (Mt SO2/yr);1
Emissions|VOC (Mt VOC/yr);Emissions|VOC (Mt VOC/yr);1
Emissions|VOC|Land Use (Mt VOC/yr);Emissions|VOC|AFOLU (Mt VOC/yr);1
Emissions|VOC|Energy Supply and Demand (Mt VOC/yr);Emissions|VOC|Energy (Mt VOC/yr);1
Emissions|VOC|Energy Demand|Industry (Mt VOC/yr);Emissions|VOC|Energy|Demand|Industry (Mt VOC/yr);1
Emissions|VOC|Energy Demand|ResCom (Mt VOC/yr);Emissions|VOC|Energy|Demand|Buildings (Mt VOC/yr);1
Emissions|VOC|Energy Demand|Transport (Mt VOC/yr);Emissions|VOC|Energy|Demand|Transportation (Mt VOC/yr);1
Emissions|VOC|Energy Supply (Mt VOC/yr);Emissions|VOC|Energy|Supply (Mt VOC/yr);1
Emissions|VOC|Solvents (Mt VOC/yr);Emissions|VOC|Other (Mt VOC/yr);1
ES|Transport|Freight (bn tkm/yr);Energy Service|Transportation|Freight (bn tkm/yr);1
ES|Transport|Pass (bn pkm/yr);Energy Service|Transportation|Passenger (bn pkm/yr);1
ES|Transport|Pass|LDV (bn pkm/yr);Energy Service|Transportation|Passenger|Road|LDV (bn pkm/yr);1
Fertilizer Use|Nitrogen (Tg Nr/yr);Fertilizer Use|Nitrogen (Tg N/yr);1
FE (EJ/yr);Final Energy (EJ/yr);1
FE|Electricity (EJ/yr);Final Energy|Electricity (EJ/yr);1
FE|Gases (EJ/yr);Final Energy|Gases (EJ/yr);1
SE|Heat|Geothermal (EJ/yr);Final Energy|Geothermal (EJ/yr);1
FE|Heat (EJ/yr);Final Energy|Heat (EJ/yr);1
FE|Hydrogen (EJ/yr);Final Energy|Hydrogen (EJ/yr);1
FE|Industry (EJ/yr);Final Energy|Industry (EJ/yr);1
FE|Industry|Electricity (EJ/yr);Final Energy|Industry|Electricity (EJ/yr);1
FE|Industry|Gases (EJ/yr);Final Energy|Industry|Gases (EJ/yr);1
FE|Industry|Heat (EJ/yr);Final Energy|Industry|Heat (EJ/yr);1
FE|Industry|Hydrogen (EJ/yr);Final Energy|Industry|Hydrogen (EJ/yr);1
FE|Industry|Liquids (EJ/yr);Final Energy|Industry|Liquids (EJ/yr);1
FE|Industry|Solids (EJ/yr);Final Energy|Industry|Solids (EJ/yr);1
FE|Industry|Solids|Biomass (EJ/yr);Final Energy|Industry|Solids|Biomass (EJ/yr);1
FE|Industry|Solids|Coal (EJ/yr);Final Energy|Industry|Solids|Coal (EJ/yr);1
FE|Liquids (EJ/yr);Final Energy|Liquids (EJ/yr);1
Tech|Electricity|Solar|PV|Lifetime (years);Final Energy|Non-Energy Use|Coal (EJ/yr);0
Tech|Electricity|Solar|PV|Lifetime (years);Final Energy|Non-Energy Use|Gas (EJ/yr);0
Tech|Electricity|Solar|PV|Lifetime (years);Final Energy|Non-Energy Use|Oil (EJ/yr);0
FE|Buildings (EJ/yr);Final Energy|Buildings (EJ/yr);1
FE|Buildings|Electricity (EJ/yr);Final Energy|Buildings|Electricity (EJ/yr);1
FE|Buildings|Gases (EJ/yr);Final Energy|Buildings|Gases (EJ/yr);1
FE|Buildings|Heat (EJ/yr);Final Energy|Buildings|Heat (EJ/yr);1
FE|Buildings|Hydrogen (EJ/yr);Final Energy|Buildings|Hydrogen (EJ/yr);1
FE|Buildings|Liquids (EJ/yr);Final Energy|Buildings|Liquids (EJ/yr);1
FE|Buildings|Solids (EJ/yr);Final Energy|Buildings|Solids (EJ/yr);1
FE|Buildings|Solids|Biomass (EJ/yr);Final Energy|Buildings|Solids|Biomass (EJ/yr);1
FE|Buildings|Solids|Coal (EJ/yr);Final Energy|Buildings|Solids|Coal (EJ/yr);1
Tech|Electricity|Solar|PV|Lifetime (years);Final Energy|Solar (EJ/yr);0
FE|Solids (EJ/yr);Final Energy|Solids (EJ/yr);1
FE|Solids|Biomass (EJ/yr);Final Energy|Solids|Biomass (EJ/yr);1
FE|Solids|Biomass|Traditional (EJ/yr);Final Energy|Solids|Biomass|Traditional (EJ/yr);1
FE|Solids|Coal (EJ/yr);Final Energy|Solids|Coal (EJ/yr);1
FE|Transport (EJ/yr);Final Energy|Transportation (EJ/yr);1
FE|Transport|Electricity (EJ/yr);Final Energy|Transportation|Electricity (EJ/yr);1
Tech|Electricity|Solar|PV|Lifetime (years);Final Energy|Transportation|Gases (EJ/yr);0
FE|Transport|Hydrogen (EJ/yr);Final Energy|Transportation|Hydrogen (EJ/yr);1
FE|Transport|Liquids (EJ/yr);Final Energy|Transportation|Liquids (EJ/yr);1
FE|Transport|Liquids|Biomass (EJ/yr);Final Energy|Transportation|Liquids|Biomass (EJ/yr);1
FE|Transport|Liquids|Oil (EJ/yr);Final Energy|Transportation|Liquids|Oil (EJ/yr);1
Food Demand (kcal/cap/day);Food Demand (kcal/cap/day);1
Food Demand|Crops (kcal/cap/day);Food Demand|Crops (kcal/cap/day);1
Food Demand|Livestock (kcal/cap/day);Food Demand|Livestock (kcal/cap/day);1
Food Energy Demand (EJ/yr);Food Energy Supply (EJ/yr);1
Food Energy Demand|Livestock (EJ/yr);Food Energy Supply|Livestock (EJ/yr);1
Forcing (W/m2);Forcing (W/m2);1
Forcing|Aerosol (W/m2);Forcing|Aerosol (W/m2);1
Forcing|Aerosol|BC (W/m2);Forcing|Aerosol|BC (W/m2);1
Forcing|Aerosol|Cloud Indirect (W/m2);Forcing|Aerosol|Cloud Indirect (W/m2);1
Forcing|Aerosol|OC (W/m2);Forcing|Aerosol|OC (W/m2);1
Forcing|Aerosol|Other (W/m2);Forcing|Aerosol|Other (W/m2);1
Forcing|Aerosol|Sulfate Direct (W/m2);Forcing|Aerosol|Sulfate Direct (W/m2);1
Forcing|Albedo Change and Mineral Dust (W/m2);Forcing|Albedo Change and Mineral Dust (W/m2);1
Forcing|CH4 (W/m2);Forcing|CH4 (W/m2);1
Forcing|CO2 (W/m2);Forcing|CO2 (W/m2);1
Forcing|F-Gases (W/m2);Forcing|F-Gases (W/m2);1
Forcing|Kyoto Gases (W/m2);Forcing|Kyoto Gases (W/m2);1
Forcing|Montreal Gases (W/m2);Forcing|Montreal Gases (W/m2);1
Forcing|N2O (W/m2);Forcing|N2O (W/m2);1
