generic;ADVANCE
Taxes|Final Energy|Transportation|Liquids|Oil (billion US$2005/yr);Taxes|Final Energy|Transportation|Liquids|Oil (billion US$2005/yr)
Subsidy rate|Final Energy|Stationary|Solids (US$2005/GJ);Price adjustment|Subsidy rate|Final Energy|Industry|Solids|Coal (US$2005/GJ)
Subsidy rate|Final Energy|Stationary|Liquids (US$2005/GJ);Price adjustment|Subsidy rate|Final Energy|Industry|Liquids|Oil (US$2005/GJ)
Subsidy rate|Final Energy|Stationary|Gases (US$2005/GJ);Price adjustment|Subsidy rate|Final Energy|Industry|Gases|Natural Gas (US$2005/GJ)
Subsidy rate|Final Energy|Stationary|Electricity (US$2005/GJ);Price adjustment|Subsidy rate|Final Energy|Industry|Electricity (US$2005/GJ)
Subsidy rate|Final Energy|Transportation|Liquids|Oil (US$2005/GJ);Price adjustment|Subsidy rate|Final Energy|Transportation|Liquids|Oil (US$2005/GJ)
Tax rate|Final Energy|Stationary|Solids (US$2005/GJ);Price adjustment|Tax rate|Final Energy|Industry|Solids|Coal (US$2005/GJ)
Tax rate|Final Energy|Stationary|Liquids (US$2005/GJ);Price adjustment|Tax rate|Final Energy|Industry|Liquids|Oil (US$2005/GJ)
Tax rate|Final Energy|Stationary|Gases (US$2005/GJ);Price adjustment|Tax rate|Final Energy|Industry|Gases|Natural Gas (US$2005/GJ)
Tax rate|Final Energy|Stationary|Electricity (US$2005/GJ);Price adjustment|Tax rate|Final Energy|Industry|Electricity (US$2005/GJ)
Tax rate|Final Energy|Transportation|Liquids|Oil (US$2005/GJ);Price adjustment|Tax rate|Final Energy|Transportation|Liquids|Oil (US$2005/GJ)
Water Consumption|Electricity (km3/yr);Water Consumption|Electricity (km3/yr)
Water Consumption|Electricity|Fossil (km3/yr);Water Consumption|Electricity|Fossil (km3/yr)
Water Consumption|Electricity|Fossil|w/ CCS (km3/yr);Water Consumption|Electricity|Fossil|w/ CCS (km3/yr)
Water Consumption|Electricity|Fossil|w/o CCS (km3/yr);Water Consumption|Electricity|Fossil|w/o CCS (km3/yr)
Water Consumption|Electricity|Coal (km3/yr);Water Consumption|Electricity|Coal (km3/yr)
Water Consumption|Electricity|Coal|w/ CCS (km3/yr);Water Consumption|Electricity|Coal|w/ CCS (km3/yr)
Water Consumption|Electricity|Coal|w/o CCS (km3/yr);Water Consumption|Electricity|Coal|w/o CCS (km3/yr)
Water Consumption|Electricity|Oil (km3/yr);Water Consumption|Electricity|Oil (km3/yr)
Water Consumption|Electricity|Oil|w/o CCS (km3/yr);Water Consumption|Electricity|Oil|w/o CCS (km3/yr)
Water Consumption|Electricity|Gas (km3/yr);Water Consumption|Electricity|Gas (km3/yr)
Water Consumption|Electricity|Gas|w/ CCS (km3/yr);Water Consumption|Electricity|Gas|w/ CCS (km3/yr)
Water Consumption|Electricity|Gas|w/o CCS (km3/yr);Water Consumption|Electricity|Gas|w/o CCS (km3/yr)
Water Consumption|Electricity|Biomass (km3/yr);Water Consumption|Electricity|Biomass (km3/yr)
Water Consumption|Electricity|Biomass|w/ CCS (km3/yr);Water Consumption|Electricity|Biomass|w/ CCS (km3/yr)
Water Consumption|Electricity|Biomass|w/o CCS (km3/yr);Water Consumption|Electricity|Biomass|w/o CCS (km3/yr)
Water Consumption|Electricity|Nuclear (km3/yr);Water Consumption|Electricity|Nuclear (km3/yr)
Water Consumption|Electricity|Non-Biomass Renewables (km3/yr);Water Consumption|Electricity|Non-Biomass Renewables (km3/yr)
Water Consumption|Electricity|Hydro (km3/yr);Water Consumption|Electricity|Hydro (km3/yr)
Water Consumption|Electricity|Solar (km3/yr);Water Consumption|Electricity|Solar (km3/yr)
Water Consumption|Electricity|Solar|PV (km3/yr);Water Consumption|Electricity|Solar|PV (km3/yr)
Water Consumption|Electricity|Solar|CSP (km3/yr);Water Consumption|Electricity|Solar|CSP (km3/yr)
Water Consumption|Electricity|Wind (km3/yr);Water Consumption|Electricity|Wind (km3/yr)
Water Consumption|Electricity|Geothermal (km3/yr);Water Consumption|Electricity|Geothermal (km3/yr)
Water Consumption|Electricity|Once Through (km3/yr);Water Consumption|Electricity|Once Through (km3/yr)
Water Consumption|Electricity|Wet Tower (km3/yr);Water Consumption|Electricity|Wet Tower (km3/yr)
Water Consumption|Electricity|Cooling Pond (km3/yr);Water Consumption|Electricity|Cooling Pond (km3/yr)
Water Consumption|Electricity|Dry Cooling (km3/yr);Water Consumption|Electricity|Dry Cooling (km3/yr)
Water Withdrawal|Electricity (km3/yr);Water Withdrawal|Electricity (km3/yr)
Water Withdrawal|Electricity|Fossil (km3/yr);Water Withdrawal|Electricity|Fossil (km3/yr)
Water Withdrawal|Electricity|Fossil|w/ CCS (km3/yr);Water Withdrawal|Electricity|Fossil|w/ CCS (km3/yr)
Water Withdrawal|Electricity|Fossil|w/o CCS (km3/yr);Water Withdrawal|Electricity|Fossil|w/o CCS (km3/yr)
Water Withdrawal|Electricity|Coal (km3/yr);Water Withdrawal|Electricity|Coal (km3/yr)
Water Withdrawal|Electricity|Coal|w/ CCS (km3/yr);Water Withdrawal|Electricity|Coal|w/ CCS (km3/yr)
Water Withdrawal|Electricity|Coal|w/o CCS (km3/yr);Water Withdrawal|Electricity|Coal|w/o CCS (km3/yr)
Water Withdrawal|Electricity|Oil (km3/yr);Water Withdrawal|Electricity|Oil (km3/yr)
Water Withdrawal|Electricity|Oil|w/o CCS (km3/yr);Water Withdrawal|Electricity|Oil|w/o CCS (km3/yr)
Water Withdrawal|Electricity|Gas (km3/yr);Water Withdrawal|Electricity|Gas (km3/yr)
Water Withdrawal|Electricity|Gas|w/ CCS (km3/yr);Water Withdrawal|Electricity|Gas|w/ CCS (km3/yr)
Water Withdrawal|Electricity|Gas|w/o CCS (km3/yr);Water Withdrawal|Electricity|Gas|w/o CCS (km3/yr)
Water Withdrawal|Electricity|Biomass (km3/yr);Water Withdrawal|Electricity|Biomass (km3/yr)
Water Withdrawal|Electricity|Biomass|w/ CCS (km3/yr);Water Withdrawal|Electricity|Biomass|w/ CCS (km3/yr)
Water Withdrawal|Electricity|Biomass|w/o CCS (km3/yr);Water Withdrawal|Electricity|Biomass|w/o CCS (km3/yr)
Water Withdrawal|Electricity|Nuclear (km3/yr);Water Withdrawal|Electricity|Nuclear (km3/yr)
Water Withdrawal|Electricity|Non-Biomass Renewables (km3/yr);Water Withdrawal|Electricity|Non-Biomass Renewables (km3/yr)
Water Withdrawal|Electricity|Hydro (km3/yr);Water Withdrawal|Electricity|Hydro (km3/yr)
Water Withdrawal|Electricity|Solar (km3/yr);Water Withdrawal|Electricity|Solar (km3/yr)
Water Withdrawal|Electricity|Solar|PV (km3/yr);Water Withdrawal|Electricity|Solar|PV (km3/yr)
Water Withdrawal|Electricity|Solar|CSP (km3/yr);Water Withdrawal|Electricity|Solar|CSP (km3/yr)
Water Withdrawal|Electricity|Wind (km3/yr);Water Withdrawal|Electricity|Wind (km3/yr)
Water Withdrawal|Electricity|Geothermal (km3/yr);Water Withdrawal|Electricity|Geothermal (km3/yr)
Water Withdrawal|Electricity|Once Through (km3/yr);Water Withdrawal|Electricity|Once Through (km3/yr)
Water Withdrawal|Electricity|Wet Tower (km3/yr);Water Withdrawal|Electricity|Wet Tower (km3/yr)
Water Withdrawal|Electricity|Cooling Pond (km3/yr);Water Withdrawal|Electricity|Cooling Pond (km3/yr)
Water Withdrawal|Electricity|Dry Cooling (km3/yr);Water Withdrawal|Electricity|Dry Cooling (km3/yr)
